date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2011-05-05,27.0,10.0,5.0,4.0,7.0,30.0,89.0,271.0,440.0,184.0,128.0,148.0,196.0,192.0,154.0,147.0,269.0,533.0,520.0,361.0,258.0,180.0,165.0,115.0
2011-05-06,56.0,32.0,16.0,9.0,1.0,16.0,82.0,222.0,450.0,188.0,127.0,165.0,246.0,253.0,213.0,260.0,344.0,553.0,470.0,292.0,190.0,152.0,151.0,120.0
2011-05-07,86.0,58.0,52.0,18.0,5.0,7.0,13.0,40.0,115.0,218.0,298.0,347.0,373.0,436.0,378.0,378.0,342.0,354.0,289.0,267.0,219.0,182.0,120.0,119.0
2011-05-08,100.0,64.0,59.0,31.0,10.0,5.0,6.0,23.0,86.0,160.0,244.0,340.0,382.0,390.0,366.0,358.0,385.0,351.0,268.0,239.0,174.0,127.0,115.0,50.0
2011-05-09,53.0,33.0,8.0,7.0,4.0,23.0,89.0,237.0,374.0,178.0,119.0,125.0,195.0,174.0,162.0,199.0,304.0,598.0,524.0,384.0,239.0,156.0,116.0,61.0
2011-05-10,18.0,15.0,5.0,4.0,2.0,29.0,112.0,314.0,425.0,205.0,127.0,125.0,217.0,202.0,176.0,180.0,327.0,611.0,550.0,434.0,291.0,203.0,150.0,81.0
2011-05-11,38.0,20.0,10.0,3.0,2.0,20.0,99.0,318.0,442.0,203.0,154.0,141.0,226.0,193.0,177.0,179.0,289.0,259.0,274.0,401.0,273.0,234.0,146.0,81.0
2011-05-12,44.0,17.0,15.0,5.0,6.0,29.0,112.0,297.0,421.0,212.0,147.0,179.0,207.0,218.0,191.0,217.0,288.0,594.0,527.0,364.0,276.0,223.0,172.0,103.0
2011-05-13,52.0,20.0,11.0,4.0,5.0,25.0,82.0,157.0,387.0,233.0,130.0,146.0,223.0,226.0,190.0,198.0,300.0,491.0,398.0,270.0,152.0,154.0,132.0,119.0
2011-05-14,102.0,82.0,52.0,35.0,5.0,14.0,11.0,32.0,88.0,100.0,167.0,279.0,279.0,248.0,216.0,294.0,295.0,272.0,304.0,248.0,157.0,59.0,26.0,44.0
2011-05-15,39.0,47.0,50.0,32.0,13.0,14.0,17.0,42.0,70.0,134.0,226.0,322.0,367.0,456.0,437.0,459.0,440.0,392.0,237.0,231.0,191.0,151.0,117.0,69.0
2011-05-16,38.0,14.0,13.0,4.0,6.0,21.0,104.0,272.0,394.0,194.0,112.0,185.0,209.0,214.0,193.0,165.0,226.0,274.0,453.0,308.0,198.0,177.0,127.0,57.0
2011-05-17,31.0,13.0,8.0,4.0,4.0,22.0,49.0,151.0,347.0,207.0,104.0,130.0,153.0,172.0,184.0,210.0,290.0,604.0,480.0,349.0,283.0,174.0,98.0,56.0
2011-05-18,23.0,12.0,6.0,9.0,3.0,9.0,101.0,274.0,453.0,202.0,106.0,23.0,54.0,122.0,138.0,167.0,294.0,565.0,489.0,331.0,213.0,85.0,117.0,59.0
2011-05-19,29.0,6.0,15.0,4.0,5.0,26.0,103.0,257.0,487.0,216.0,130.0,164.0,168.0,183.0,180.0,188.0,302.0,547.0,513.0,410.0,282.0,209.0,79.0,72.0
2011-06-01,34.0,17.0,3.0,6.0,4.0,21.0,128.0,284.0,454.0,207.0,115.0,112.0,169.0,154.0,145.0,152.0,266.0,486.0,309.0,264.0,256.0,190.0,129.0,69.0
2011-06-02,42.0,15.0,6.0,4.0,3.0,31.0,113.0,304.0,467.0,225.0,139.0,165.0,232.0,203.0,185.0,188.0,318.0,572.0,525.0,379.0,337.0,248.0,155.0,112.0
2011-06-03,68.0,22.0,12.0,5.0,6.0,28.0,106.0,277.0,502.0,230.0,161.0,192.0,259.0,248.0,240.0,212.0,349.0,558.0,564.0,391.0,293.0,247.0,171.0,171.0
2011-06-04,93.0,94.0,59.0,18.0,15.0,8.0,28.0,87.0,125.0,224.0,317.0,369.0,420.0,456.0,451.0,404.0,440.0,344.0,341.0,285.0,239.0,185.0,190.0,150.0
2011-06-05,113.0,96.0,64.0,47.0,12.0,6.0,21.0,27.0,98.0,164.0,251.0,335.0,335.0,367.0,385.0,417.0,398.0,390.0,363.0,357.0,279.0,165.0,130.0,86.0
2011-06-06,29.0,14.0,8.0,5.0,8.0,31.0,112.0,299.0,438.0,188.0,95.0,111.0,153.0,180.0,145.0,165.0,267.0,579.0,556.0,407.0,336.0,189.0,173.0,60.0
2011-06-07,20.0,4.0,5.0,2.0,5.0,32.0,126.0,334.0,477.0,217.0,123.0,151.0,183.0,196.0,146.0,183.0,308.0,539.0,551.0,424.0,346.0,218.0,153.0,90.0
2011-06-08,41.0,23.0,7.0,3.0,6.0,21.0,116.0,353.0,481.0,202.0,90.0,134.0,149.0,136.0,155.0,128.0,233.0,506.0,459.0,384.0,280.0,202.0,176.0,116.0
2011-06-09,47.0,16.0,6.0,2.0,6.0,20.0,118.0,314.0,432.0,168.0,94.0,118.0,140.0,136.0,118.0,104.0,200.0,409.0,466.0,326.0,254.0,171.0,153.0,97.0
2011-06-10,69.0,23.0,13.0,6.0,4.0,28.0,104.0,267.0,452.0,213.0,111.0,153.0,207.0,189.0,165.0,212.0,285.0,517.0,463.0,306.0,250.0,218.0,185.0,146.0
2011-06-11,117.0,77.0,60.0,28.0,13.0,16.0,40.0,68.0,143.0,230.0,264.0,325.0,347.0,387.0,380.0,374.0,394.0,337.0,286.0,264.0,275.0,220.0,190.0,131.0
2011-06-12,119.0,93.0,66.0,28.0,14.0,10.0,14.0,34.0,92.0,182.0,311.0,367.0,420.0,373.0,315.0,360.0,350.0,252.0,256.0,223.0,206.0,140.0,128.0,107.0
2011-06-13,28.0,16.0,10.0,7.0,4.0,29.0,105.0,328.0,476.0,224.0,118.0,159.0,196.0,227.0,200.0,185.0,326.0,601.0,586.0,423.0,331.0,218.0,134.0,89.0
2011-06-14,31.0,13.0,10.0,2.0,3.0,26.0,113.0,365.0,486.0,193.0,130.0,143.0,169.0,209.0,159.0,178.0,330.0,569.0,538.0,386.0,297.0,243.0,188.0,110.0
2011-06-15,52.0,14.0,9.0,1.0,4.0,21.0,121.0,370.0,498.0,207.0,135.0,164.0,211.0,189.0,178.0,164.0,312.0,638.0,607.0,416.0,330.0,257.0,175.0,107.0
2011-06-16,47.0,17.0,5.0,4.0,6.0,25.0,112.0,188.0,388.0,261.0,121.0,150.0,206.0,151.0,153.0,159.0,294.0,272.0,325.0,327.0,201.0,188.0,151.0,16.0
2011-06-17,24.0,23.0,13.0,6.0,6.0,13.0,97.0,250.0,454.0,224.0,170.0,181.0,243.0,204.0,215.0,243.0,355.0,552.0,450.0,328.0,232.0,208.0,175.0,178.0
2011-06-18,104.0,95.0,53.0,20.0,5.0,7.0,27.0,57.0,131.0,218.0,244.0,404.0,420.0,327.0,334.0,367.0,468.0,449.0,381.0,326.0,188.0,183.0,161.0,150.0
2011-06-19,89.0,76.0,72.0,30.0,17.0,19.0,33.0,71.0,84.0,169.0,244.0,377.0,396.0,363.0,317.0,362.0,378.0,397.0,296.0,311.0,232.0,167.0,152.0,92.0
2011-07-01,68.0,31.0,13.0,11.0,6.0,30.0,108.0,243.0,492.0,260.0,170.0,214.0,263.0,292.0,303.0,381.0,427.0,461.0,422.0,318.0,269.0,218.0,222.0,140.0
2011-07-02,115.0,78.0,52.0,26.0,11.0,14.0,32.0,45.0,132.0,179.0,271.0,357.0,374.0,404.0,392.0,331.0,398.0,349.0,383.0,305.0,284.0,232.0,201.0,154.0
2011-07-03,144.0,78.0,69.0,33.0,5.0,1.0,3.0,25.0,92.0,181.0,264.0,390.0,404.0,421.0,375.0,376.0,414.0,358.0,181.0,183.0,176.0,167.0,162.0,147.0
2011-07-04,140.0,119.0,63.0,26.0,12.0,4.0,16.0,36.0,86.0,238.0,280.0,349.0,447.0,423.0,408.0,408.0,452.0,436.0,418.0,375.0,386.0,457.0,326.0,138.0
2011-07-05,55.0,39.0,13.0,8.0,5.0,20.0,94.0,270.0,432.0,227.0,139.0,172.0,201.0,203.0,178.0,162.0,281.0,545.0,496.0,368.0,284.0,245.0,155.0,73.0
2011-07-06,37.0,15.0,5.0,6.0,6.0,35.0,121.0,312.0,428.0,189.0,43.0,127.0,152.0,140.0,163.0,185.0,275.0,596.0,563.0,394.0,312.0,241.0,186.0,98.0
2011-07-07,35.0,16.0,8.0,4.0,4.0,32.0,118.0,292.0,443.0,179.0,101.0,142.0,171.0,155.0,160.0,166.0,265.0,569.0,562.0,365.0,285.0,209.0,182.0,129.0
2011-07-08,47.0,34.0,22.0,6.0,11.0,27.0,102.0,332.0,457.0,241.0,138.0,165.0,213.0,229.0,216.0,141.0,132.0,167.0,316.0,270.0,250.0,204.0,169.0,151.0
2011-07-09,121.0,53.0,55.0,30.0,6.0,15.0,38.0,71.0,182.0,247.0,264.0,290.0,366.0,416.0,373.0,402.0,416.0,401.0,378.0,306.0,314.0,238.0,214.0,140.0
2011-07-10,154.0,113.0,96.0,25.0,5.0,17.0,25.0,65.0,92.0,169.0,268.0,287.0,377.0,367.0,349.0,361.0,372.0,363.0,363.0,303.0,268.0,227.0,143.0,72.0
2011-07-11,35.0,10.0,12.0,10.0,4.0,26.0,121.0,317.0,420.0,208.0,117.0,128.0,148.0,141.0,134.0,146.0,239.0,514.0,472.0,373.0,236.0,130.0,90.0,55.0
2011-07-12,22.0,14.0,9.0,8.0,6.0,25.0,115.0,330.0,417.0,176.0,123.0,125.0,163.0,136.0,124.0,148.0,202.0,428.0,511.0,337.0,308.0,258.0,194.0,79.0
2011-07-13,46.0,12.0,5.0,4.0,5.0,26.0,121.0,313.0,449.0,186.0,113.0,165.0,174.0,158.0,116.0,46.0,141.0,488.0,463.0,419.0,342.0,250.0,184.0,116.0
2011-07-14,46.0,25.0,10.0,6.0,6.0,28.0,130.0,334.0,486.0,224.0,127.0,148.0,223.0,177.0,178.0,180.0,274.0,595.0,578.0,400.0,348.0,261.0,176.0,124.0
2011-07-15,80.0,20.0,38.0,7.0,10.0,23.0,120.0,274.0,564.0,207.0,166.0,210.0,238.0,247.0,265.0,237.0,361.0,587.0,496.0,394.0,343.0,261.0,223.0,167.0
2011-07-16,110.0,75.0,58.0,26.0,16.0,10.0,37.0,52.0,127.0,222.0,322.0,396.0,463.0,497.0,433.0,428.0,425.0,475.0,428.0,406.0,296.0,252.0,201.0,168.0
2011-07-17,125.0,102.0,94.0,47.0,10.0,12.0,21.0,50.0,118.0,184.0,304.0,391.0,420.0,472.0,430.0,324.0,317.0,369.0,390.0,379.0,262.0,207.0,181.0,93.0
2011-07-18,51.0,25.0,10.0,7.0,4.0,17.0,105.0,277.0,347.0,203.0,130.0,141.0,165.0,152.0,138.0,164.0,265.0,545.0,558.0,398.0,323.0,202.0,140.0,91.0
2011-07-19,51.0,13.0,13.0,3.0,5.0,19.0,134.0,315.0,412.0,199.0,141.0,127.0,153.0,172.0,152.0,158.0,277.0,513.0,530.0,388.0,277.0,241.0,156.0,92.0
2011-08-01,29.0,17.0,11.0,4.0,4.0,26.0,100.0,282.0,382.0,166.0,97.0,119.0,168.0,150.0,123.0,129.0,231.0,514.0,543.0,413.0,305.0,220.0,137.0,96.0
2011-08-02,29.0,12.0,8.0,5.0,10.0,21.0,117.0,335.0,435.0,213.0,140.0,128.0,157.0,203.0,159.0,168.0,274.0,556.0,556.0,454.0,288.0,254.0,191.0,132.0
2011-08-03,43.0,16.0,11.0,4.0,7.0,24.0,110.0,271.0,437.0,195.0,68.0,122.0,161.0,144.0,147.0,118.0,150.0,425.0,492.0,321.0,87.0,88.0,77.0,56.0
2011-08-04,17.0,17.0,7.0,3.0,7.0,20.0,97.0,282.0,398.0,187.0,113.0,149.0,205.0,205.0,167.0,165.0,290.0,555.0,523.0,366.0,286.0,211.0,174.0,132.0
2011-08-05,54.0,19.0,19.0,6.0,7.0,16.0,101.0,270.0,454.0,226.0,163.0,147.0,216.0,204.0,245.0,210.0,330.0,550.0,466.0,372.0,291.0,173.0,188.0,139.0
2011-08-06,133.0,67.0,53.0,42.0,10.0,6.0,27.0,63.0,121.0,215.0,290.0,349.0,382.0,441.0,380.0,362.0,343.0,149.0,211.0,171.0,137.0,114.0,120.0,108.0
2011-08-07,80.0,73.0,66.0,32.0,6.0,5.0,13.0,39.0,89.0,184.0,266.0,269.0,370.0,324.0,322.0,326.0,193.0,194.0,229.0,228.0,183.0,136.0,103.0,55.0
2011-08-08,30.0,12.0,7.0,1.0,10.0,15.0,95.0,267.0,349.0,183.0,124.0,179.0,182.0,151.0,150.0,126.0,282.0,527.0,529.0,416.0,286.0,186.0,147.0,72.0
2011-08-09,35.0,14.0,12.0,3.0,7.0,30.0,101.0,343.0,392.0,175.0,144.0,149.0,185.0,175.0,148.0,164.0,285.0,532.0,585.0,371.0,292.0,230.0,155.0,75.0
2011-08-10,37.0,17.0,11.0,4.0,5.0,32.0,119.0,305.0,399.0,180.0,113.0,149.0,240.0,191.0,178.0,194.0,282.0,584.0,559.0,413.0,312.0,209.0,139.0,108.0
2011-08-11,46.0,26.0,11.0,9.0,5.0,25.0,106.0,307.0,390.0,197.0,132.0,187.0,214.0,217.0,142.0,178.0,298.0,582.0,571.0,371.0,288.0,206.0,157.0,127.0
2011-08-12,65.0,23.0,15.0,9.0,5.0,26.0,76.0,264.0,426.0,205.0,130.0,156.0,222.0,253.0,186.0,249.0,334.0,516.0,465.0,385.0,287.0,226.0,231.0,151.0
2011-08-13,84.0,77.0,74.0,27.0,10.0,18.0,22.0,44.0,118.0,208.0,260.0,314.0,421.0,153.0,259.0,358.0,281.0,269.0,292.0,237.0,183.0,167.0,154.0,120.0
2011-08-14,90.0,73.0,62.0,27.0,3.0,10.0,6.0,24.0,41.0,103.0,183.0,198.0,281.0,377.0,370.0,331.0,292.0,329.0,347.0,259.0,193.0,155.0,39.0,27.0
2011-08-15,25.0,10.0,3.0,7.0,5.0,17.0,90.0,258.0,355.0,222.0,141.0,153.0,178.0,193.0,151.0,182.0,283.0,530.0,483.0,397.0,285.0,184.0,98.0,88.0
2011-08-16,31.0,16.0,4.0,6.0,5.0,30.0,119.0,346.0,441.0,198.0,111.0,150.0,162.0,192.0,182.0,159.0,303.0,600.0,570.0,376.0,280.0,215.0,152.0,77.0
2011-08-17,24.0,14.0,6.0,5.0,5.0,28.0,105.0,308.0,487.0,209.0,118.0,128.0,189.0,176.0,192.0,159.0,300.0,552.0,556.0,347.0,280.0,230.0,171.0,105.0
2011-08-18,56.0,24.0,6.0,6.0,9.0,27.0,103.0,308.0,420.0,228.0,129.0,141.0,173.0,187.0,182.0,174.0,245.0,409.0,274.0,141.0,165.0,149.0,135.0,114.0
2011-08-19,62.0,20.0,8.0,3.0,8.0,17.0,93.0,263.0,398.0,218.0,165.0,165.0,222.0,232.0,220.0,222.0,327.0,527.0,425.0,165.0,58.0,107.0,122.0,106.0
2011-09-01,51.0,21.0,25.0,14.0,7.0,23.0,105.0,342.0,498.0,207.0,138.0,192.0,229.0,219.0,198.0,174.0,308.0,628.0,531.0,443.0,280.0,177.0,179.0,126.0
2011-09-02,64.0,32.0,20.0,8.0,4.0,20.0,76.0,259.0,456.0,220.0,140.0,192.0,260.0,279.0,283.0,346.0,381.0,455.0,355.0,287.0,196.0,149.0,147.0,98.0
2011-09-03,87.0,74.0,41.0,35.0,7.0,12.0,23.0,38.0,89.0,201.0,258.0,194.0,257.0,353.0,380.0,388.0,374.0,371.0,339.0,295.0,219.0,164.0,162.0,123.0
2011-09-04,109.0,75.0,60.0,43.0,4.0,6.0,3.0,30.0,70.0,189.0,297.0,337.0,435.0,419.0,361.0,410.0,337.0,376.0,356.0,328.0,229.0,207.0,155.0,104.0
2011-09-05,97.0,54.0,39.0,16.0,8.0,6.0,11.0,41.0,101.0,152.0,244.0,308.0,353.0,389.0,357.0,253.0,284.0,114.0,123.0,175.0,82.0,60.0,64.0,20.0
2011-09-07,13.0,5.0,6.0,2.0,4.0,16.0,75.0,86.0,328.0,190.0,66.0,10.0,22.0,11.0,25.0,58.0,144.0,285.0,237.0,226.0,96.0,38.0,29.0,24.0
2011-09-09,16.0,8.0,8.0,2.0,3.0,14.0,57.0,108.0,288.0,136.0,29.0,72.0,75.0,122.0,148.0,188.0,285.0,505.0,410.0,349.0,210.0,203.0,160.0,148.0
2011-09-10,116.0,83.0,64.0,37.0,7.0,8.0,6.0,52.0,119.0,207.0,318.0,360.0,404.0,370.0,359.0,480.0,431.0,460.0,360.0,315.0,245.0,230.0,175.0,139.0
2011-09-11,108.0,88.0,76.0,45.0,9.0,39.0,20.0,37.0,94.0,227.0,334.0,402.0,411.0,350.0,342.0,404.0,483.0,380.0,339.0,333.0,226.0,159.0,95.0,45.0
2011-09-13,26.0,10.0,2.0,4.0,8.0,20.0,122.0,362.0,425.0,214.0,135.0,153.0,187.0,184.0,190.0,180.0,292.0,579.0,539.0,396.0,272.0,245.0,144.0,74.0
2011-09-14,33.0,8.0,5.0,8.0,9.0,31.0,145.0,370.0,429.0,202.0,142.0,164.0,212.0,178.0,124.0,176.0,277.0,599.0,586.0,381.0,261.0,213.0,160.0,72.0
